연번,연도,작전명,죄명(한글),"참여기관(기본 한글, 저명한 기관만 영문)",참여국가(한글),내용,출처
112,2018,(가칭)Operation EagleNet,"금융사기, 부패","EFCC(나이지리아 경제·금융범죄위원회), FBI(미국 연방수사국), EFCC 사이버범죄과","나이지리아, 미국","나이지리아 EFCC와 미국 FBI가 사이버범죄와 금융사기, 부패 등 국경 없는 범죄에 공동 대응하기 위해 공식적으로 협력 관계를 강화하고, 첨단 범죄 단속과 피해자 보호를 위해 정보 공유 및 조사 역량을 확대하였다.",https://www.vanguardngr.com/2018/06/efcc-fbi-partner-fight-cybercrime/
121,2018,(가칭)Operation CardStorm,"신용카드정보도난및유통, 자금세탁, 컴퓨터사기, 범죄조직운영","영국 국가범죄수사국(National Crime Agency), FBI, 유럽 법집행기관","영국, 미국, 유럽(독일, 프랑스 등)","영국 국가범죄수사국과 FBI 등 국제 법집행기관이 협력하여 불법 신용카드 정보 도난 및 유통, 돈세탁, 사이버사기 등으로 수백만 달러의 피해를 발생시킨 범죄조직을 해체하고, 주요 인물 6명을 체포하였다.",https://www.bbc.com/news/uk-43893420
122,2018,(가칭)Operation Carbanak,"금융기관해킹, 악성코드유포, 신용카드및은행계좌정보도난, 사기, 자금세탁, 범죄조직운영","스페인 국가경찰(Spanish National Police), Europol, FBI, 루마니아 경찰, 벨라루스 경찰, 대만(중화민국) 관련 기관, 민간 사이버보안 기업(카스퍼스키 등)","스페인, 미국, 루마니아, 벨라루스, 대만(중화민국)","스페인 국가경찰과 Europol 등 국제 법집행기관이 협력하여 Carbanak과 Cobalt 악성코드를 이용해 40여 개국 100개 이상의 금융기관에서 10억 유로 이상을 훔친 범죄조직의 핵심 인물을 체포하고, 해당 사이버범죄 네트워크를 무력화하였다.",https://www.europol.europa.eu/media-press/newsroom/news/mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain
134,2018,(가칭)Operation Infraud,"신용카드·데빗카드·은행계좌 정보 도난 및 유통, 불법 하드웨어 유통, 악성코드유포, 컴퓨터사기, 범죄조직운영","미국 법무부, 미국 국토안보부, 태국 경찰, 프랑스 법집행기관, 영국 법집행기관, 이탈리아 법집행기관, 호주 법집행기관, 코소보 법집행기관, 세르비아 법집행기관","미국, 태국, 프랑스, 영국, 이탈리아, 호주, 코소보, 세르비아","미국 법무부와 국제 법집행기관이 협력하여 Infraud Organization의 주요 인물을 태국 등 여러 국가에서 체포하고, 신용카드·데빗카드·은행계좌 정보 도난 및 유통 등으로 5억 3천만 달러 이상의 피해를 유발한 글로벌 사이버범죄 조직을 무력화하였다.",https://www.voanews.com/a/thais-arrest-alleged-russian-cybercrime-market-operator/4246130.html
135,2018,(가칭)Operation RexMundi,"사이버협박, 데이터유출, 불법침입, 신용카드정보도난, 범죄조직운영","영국 런던 경찰(Metropolitan Police), 프랑스 국가경찰(High Tech Crime Unit), 태국 왕립경찰, Europol, J-CAT(유럽합동사이버범죄특별팀)","영국, 프랑스, 태국","영국, 프랑스, 태국 법집행기관과 Europol이 협력하여 영국 기업을 대상으로 대규모 고객 데이터 유출 및 사이버 협박을 시도한 해킹조직 Rex Mundi의 주요 인물을 체포하고, 8명의 용의자를 모두 검거하며 해당 범죄조직을 해체하였다.",https://www.europol.europa.eu/media-press/newsroom/news/french-coder-who-helped-extort-british-company-arrested-in-thailand
147,2018,(가칭)Operation ATM Havoc,"악성코드유포, 금융기관해킹, ATM네트워크공격, 신용카드정보도난, 금융사기, 자금세탁","Europol, Europol Cybercrime Centre(EC3), Europol Joint Cybercrime Action Taskforce(J-CAT), 스페인 국립경찰, 미국 FBI, 루마니아 법집행기관, 몰도바 법집행기관, 벨라루스 법집행기관, 대만 법집행기관, 민간 사이버보안 기업","스페인, 미국, 루마니아, 몰도바, 벨라루스, 대만, 40개국 이상(피해 국가)","Europol과 J-CAT, 스페인 국립경찰 등 국제 법집행기관이 협력하여 40개국 이상의 금융기관을 대상으로 악성코드와 ATM 네트워크 공격을 감행한 국제 사이버범죄 조직을 단속하고, 주요 용의자를 체포하며 10억 유로 이상의 피해를 유발한 범죄 네트워크를 해체하였다.",https://www.thirdway.org/report/countering-the-cyber-enforcement-gap-strengthening-global-capacity-on-cybercrime
150,2019,(가칭)Operation GozNym,"악성코드(GozNym) 유포, 피싱, 온라인 뱅킹 자격증명 도용, 은행계좌 불법 접근, 자금 절도, 자금세탁","Europol, Eurojust, 미국 서부 펜실베이니아 연방검찰, FBI, 독일 뤼네부르크 경찰, 불가리아 조직범죄수사국, 조지아 내무부 및 검찰, 우크라이나 국가경찰 및 검찰, 몰도바 경찰 및 검찰","미국, 불가리아, 독일, 조지아, 몰도바, 우크라이나","Europol, Eurojust와 6개국 법집행기관이 협력하여 GozNym 악성코드를 활용해 41,000명 이상의 피해자로부터 1억 달러를 탈취하려 한 국제 사이버범죄 네트워크를 해체하고 주요 인물을 체포하였다.",https://www.eurojust.europa.eu/news/goznym-malware-cybercriminal-network-dismantled-international-operation
153,2019,(가칭)Operation Thallium Block,"스피어 피싱, 악성코드유포, 계정 침해, 네트워크 보안 침해, 민감 정보 탈취","Microsoft Digital Crimes Unit(DCU), Microsoft Threat Intelligence Center(MSTIC), 미국 동부버지니아 연방지방법원","미국, 일본, 한국(피해 국가), 북한(공격자 추정 소재지)","Microsoft는 미국 법원 명령을 받아 북한 소재로 추정되는 Thallium 해킹 조직이 사용하던 50개 도메인을 차단·압류함으로써, 미국·일본·한국 등지의 정부, 싱크탱크, 대학, 인권단체, 핵확산 관련 인사 등을 표적으로 한 스피어 피싱 및 악성코드 공격을 차단하였다.",https://blogs.microsoft.com/on-the-issues/2019/12/30/microsoft-court-action-against-nation-state-cybercrime/
160,2019,(가칭)Operation Manila 600,"불법 온라인 도박, 컴퓨터사기, 투자 사기, 불법 취업, 불법 체류, 비자 위반, 자금세탁","Philippines Bureau of Immigration, 현지 경찰, 중국 대사관","필리핀, 중국","필리핀 이민국과 현지 경찰이 중국 대사관의 정보 제공을 받아 일주일 만에 600명 이상의 중국인을 체포하였으며, 이들은 불법 온라인 도박, 투자 사기 등 사이버범죄와 불법 취업, 체류 혐의로 추방 대상이 되었다",https://www.scmp.com/news/asia/southeast-asia/article/3027741/more-320-chinese-arrested-philippines-illegal-online
184,2020,(가칭)Operation Latvian Wash,"자금세탁, 불법 자금 이체, 신분 도용, 피싱, 해킹, 사이버 사기","라트비아 경찰(State Police), FBI, 미국 법무부(Department of Justice), Europol","라트비아, 미국","라트비아 경찰이 FBI 및 미국 법무부와 협력해, 미국 내 사이버범죄로 인한 불법 자금을 라트비아 은행계좌로 세탁한 범죄 네트워크를 해체하고, 주요 멤버를 체포하며 국제 공조의 중요성을 입증하였다.",https://eng.lsm.lv/article/society/crime/latvian-police-played-leading-role-in-us-cybercrime-crackdown.a378200/
194,2020,(가칭)Operation Karachi Stalk,"사이버 괴롭힘, 협박, 허위 계정 운영, 명예훼손, 사기, 신분 도용, 사이버 범죄(블랙메일, 허위 정보 유포 등)","파키스탄 연방수사국(FIA), 트위터, 런던 메트로폴리탄 경찰, 두바이 경찰","파키스탄, 영국, 미국, 아랍에미리트(두바이)","파키스탄 연방수사국(FIA)이 트위터, 런던 및 두바이 경찰과 협력해 미국인 조지 기르기스를 중심으로 한 국제 네트워크가 운영한 허위 계정을 적발하고, 카라치의 세 가족을 대상으로 한 사이버 괴롭힘, 협박, 명예훼손 등 범죄 행위를 단속하였다.",https://dailytimes.com.pk/676333/ae7-architect-george-girgis-behind-fake-accounts-cybercrime-network/#google_vignette
213,2021,(가칭)Operation DoubleVPN,"사이버범죄(랜섬웨어, 피싱, 신분도용, 불법 자금 유통 등), 불법 VPN 서비스 이용","네덜란드 국가경찰, 유로폴(Europol), 유로저스트(Eurojust), 미국 연방수사국(FBI), 캐나다, 스웨덴, 독일, 스위스, 불가리아, 영국, 이탈리아 경찰 및 수사기관","네덜란드, 미국, 캐나다, 스웨덴, 독일, 스위스, 불가리아, 영국, 이탈리아","네덜란드 국가경찰이 주도하고 유로폴·유로저스트, 미국·캐나다·스웨덴·독일·스위스·불가리아·영국·이탈리아 등 각국 경찰이 협력하여, 랜섬웨어 등 사이버범죄에 이용된 DoubleVPN 서비스의 서버와 도메인을 압수·차단하고, 범죄자 신원 추적을 위한 정보를 확보했다",https://www.welivesecurity.com/2021/06/30/global-police-vpn-service-cybercriminals/
214,2021,(가칭)Operation TrickBot Witte,"사이버범죄, 랜섬웨어, Trickbot 멀웨어 유포, 신용카드 정보 유출 등","미국 법무부, FBI, 국제 수사기관","미국, 러시아(용의자 국적)","러시아 출신의 55세 여성 알라 위테(Alla Witte)가 미국 법무부에 의해 Trickbot 사이버범죄 조직의 핵심 멤버로 기소되어, 랜섬웨어 및 멀웨어 유포, 신용카드 정보 유출 등 다양한 사이버범죄에 연루된 사실이 밝혀졌다",https://www.bloomberg.com/news/articles/2021-06-09/hacker-known-as-max-is-55-year-old-woman-from-russia-u-s-says
215,2022,(가칭)Operation Black Axe,"사이버범죄, 비즈니스 이메일 위장 사기(BEC), 투자사기, 실업보험 사기, 온라인 연애사기, 자금세탁","미국 연방수사국(FBI), 텍사스 주 경찰, 미국 법무부","미국, 나이지리아(범죄 조직 본부)","미국 연방수사국(FBI)이 나이지리아 기반 범죄조직 ‘Black Axe’ 소속 33명을 체포해, 2017년부터 비즈니스 이메일 위장 사기(BEC), 투자사기, 실업보험 사기, 온라인 연애사기 등으로 1억 7천만 원 이상(미화 1,700만 달러)을 절취한 사실을 밝혔다.",https://therecord.media/us-arrests-33-bec-scammers-linked-to-nigerian-crime-syndicate
226,2022,(가칭)Operation Marketplace A,"와이어 사기(wire fraud), 접근장치 사기(access device fraud), 중대한 신분도용(aggravated identity theft), 불법 접근장치 유통, 불법 접근장치 보유, 불법 접근장치 권유 등","미국 법무부(DOJ), FBI, 동부 텍사스 연방검찰(EDTX), 라트비아 국가경찰(State Police of Latvia)","미국, 라트비아","러시아인 이고르 데흐티아르추크는 2018년부터 신용카드 정보, 온라인 계정 로그인 등 도용 데이터를 판매하는 사이버범죄 마켓플레이스 A를 운영한 혐의로 미국 법무부와 FBI에 의해 기소되어 FBI 사이버 최우수 수배자 명단에 올랐으며, 동부 텍사스 연방대배심에서 체포 영장이 발부되었다.",https://cyberscoop.com/igor-dekhtyarchuk-marketplace-a-indictment-doj-fbi/
232,2022,(가칭)Operation Molo Sanction,"미국 정부 제재 위반, 사이버범죄(러시아 군사정보기관 주도), 불법 자금 세탁, 불법 이득 취득","미국 법무부(DOJ), FBI, 미국 재무부, 유럽 각국 수사기관(협력)","미국, 유럽(협력기관 소재 국가)","미국 법무부와 FBI가 러시아의 크렘린과 연계된 올리가르흐 콘스탄틴 말로페예프를 미국 제재 위반 혐의로 기소하고, 러시아 군사정보기관이 주도한 사이버범죄 조직을 해체하는 등 러시아의 불법 자산 및 사이버범죄에 대한 국제적 대응을 강화했다.",https://www.pressherald.com/2022/04/06/u-s-charges-russian-oligarch-dismantles-cybercrime-operation/
237,2022,(가칭)Operation Raccoon Sweep,"사이버범죄, 컴퓨터 관련 사기 음모, 금융사기 음모, 자금세탁 음모, 중대한 신분도용, 불법 데이터 도용","미국 법무부(DOJ), FBI, 네덜란드 경찰, 이탈리아 경찰","미국, 네덜란드, 이탈리아","미국 법무부와 FBI가 네덜란드 및 이탈리아 경찰과 협력해 ‘Raccoon Infostealer’ 악성코드 운영을 주도한 우크라이나인 마크 솔로프스키를 체포하고, 전 세계 수백만 대의 컴퓨터를 감염시켜 5천만 건 이상의 개인정보를 탈취한 국제 사이버범죄 조직의 디지털 인프라를 해체했다.",https://www.scworld.com/brief/cybercriminals-increasingly-using-caramel-credit-card-theft-service
244,2023,(가칭)Operation IRS Scamcall,"사이버범죄, 신분사칭(미국 세무서, 사회보장국, 마약단속국 등 공무원 사칭), 사기(cheating), 갈취(extortion), 공모(criminal conspiracy), 신분도용(identity theft), 위장(impersonation)","델리 경찰(Intelligence Fusion & Strategic Operations, IFSO), FBI, 인터폴","인도, 미국, 우간다","델리 경찰이 FBI와 인터폴과 협력해 인도, 미국, 우간다에 걸친 국제 사이버범죄 조직을 적발했다.

범죄자들은 미국 세무서(IRS), 사회보장국, 마약단속국 등 공무원을 사칭해 콜센터를 운영하며 수백만 달러 규모의 사기와 갈취, 신분도용을 저질렀다.

주요 용의자(파르트 아마르카 등)는 우간다와 인도에서 범죄 활동을 주도했으며, 인도 내 여러 지역에서 체포되었다.

FBI는 50명 이상을 조사했으며, 2,000만 달러 이상의 사기 증거를 확보했다.

체포된 4명은 인도 형법 및 정보기술법 위반 혐의로 기소되었다.

",https://theprint.in/india/delhi-police-busts-international-cyber-crime-syndicate-in-operation-with-fbi-interpol/1631464/
263,2023,(가칭)Operation Hive Collapse,"랜섬웨어, 데이터 암호화 및 갈취, 사이버범죄, 불법 금융거래, 시스템 침입, 조직적 범죄","FBI, 미국 법무부(DOJ), 유로폴(Europol), 독일 경찰, 네덜란드 경찰, 영국 국가범죄수사국(NCA), 미국 비밀경찰(US Secret Service), 캐나다, 프랑스, 루마니아, 리투아니아, 스웨덴, 노르웨이, 포르투갈, 스페인, 아일랜드 등","미국, 독일, 네덜란드, 영국, 캐나다, 프랑스, 루마니아, 리투아니아, 스웨덴, 노르웨이, 포르투갈, 스페인, 아일랜드 등","미국 FBI와 유로폴, 독일 및 네덜란드 등 13개국 법집행기관이 협력해 2022년 7월부터 2023년 1월까지 Hive 랜섬웨어 그룹의 서버와 인프라를 침투·해체하고, 피해자에게 복호화 키를 제공하여 1억 달러 이상의 랜섬웨어 피해를 방지하는 등 대규모 사이버범죄 네트워크를 무력화했다.",https://www.europol.europa.eu/media-press/newsroom/news/cybercriminals-stung-hive-infrastructure-shut-down
264,2023,(가칭)Operation RansomCollective,"랜섬웨어, 갈취, 신분도용, 데이터 절도, 불법 금융거래, 사이버범죄, 악성코드유포, 피싱, 협박, 시스템 침입, 조직적 범죄","FBI, 유로폴(Europol), 스페인 경찰, 미국 법무부(DOJ), 각국 경찰 및 수사기관","미국, 스페인, 우크라이나, 독일, 이탈리아, 아르헨티나, 칠레, 일본 등","2023년 12월, FBI와 유로폴 등 국제 법집행기관이 BlackCat/ALPHV, LockerGoga, MegaCortex, Hive, Dharma 등 주요 랜섬웨어 인프라를 무력화하고, 스페인에서 Kelvin Security 해킹조직 주동자 체포 등 다양한 사이버범죄 대응 성과를 거두었으며, 신분도용 및 갈취 등 새로운 사이버 위협이 지속되고 있다.",https://www.sentinelone.com/blog/december-2023-cybercrime-update-extortion-trends-identity-focused-attacks-counter-operations/
306,2024,(가칭)Operation AI Sentinel,"사이버범죄, 악성코드 개발, 피싱, 사회적 조작(소셜 엔지니어링), 허위정보(디스인포메이션), 선거 개입, 가짜 계정 생성, 불법 데이터 수집","OpenAI, Meta(협조), 각국 사이버보안 기관(특정 기관 명시되지 않음)","미국, 이스라엘, 중국, 이란, 인도, 르완다, 유럽연합 등","OpenAI가 2024년 한 해 동안 전 세계 20개 이상의 악성 네트워크와 캠페인을 차단하여, 악성코드 개발, 피싱, 허위정보 유포, 선거 개입 등 다양한 사이버범죄와 사회적 조작 시도를 무력화하고, AI 기술의 오남용을 방지했다.",https://thehackernews.com/2024/10/openai-blocks-20-global-malicious.html
307,2023,(가칭)Operation Genesis,"온라인 범죄 시장 운영, 도용 신원 거래, 불법 계정 접근권 판매, 사기, 랜섬웨어 공격, 조직적 사이버범죄","캐나다 왕립기마경찰(NC3), FBI, 28개 캐나다 법집행기관, 각국 법집행기관(18개국)","캐나다, 미국, 영국, 프랑스, 독일, 네덜란드, 스웨덴, 오스트레일리아, 뉴질랜드, 스위스, 폴란드, 체코, 덴마크, 노르웨이, 핀란드, 포르투갈, 루마니아, 에스토니아 등","FBI와 캐나다 왕립기마경찰(NC3)이 주도하고 18개국 법집행기관이 협력한 작전에서 Genesis Market이라는 대규모 온라인 범죄 시장의 인프라와 웹사이트를 해체하고, 150만 개 이상의 봇과 200만 개 이상의 신원 정보를 압수하며, 전 세계적으로 수많은 체포와 경찰 조치를 통해 조직적 사이버범죄에 중대한 타격을 입혔다.",https://rcmp.ca/en/gazette/rcmp-specialized-unit-combats-cybercrime-through-teamwork
320,2024,(가칭)Operation Ivanov Cutoff,"자금세탁, 해킹 및 랜섬웨어 등 사이버범죄 자금 유통, 불법 금융거래, 신분도용, 카드 정보 유출(카딩), 불법 암호화폐 거래","미국 재무부(OFAC, FinCEN), 미국 법무부(DOJ), 미국 국무부, 미국 비밀경찰(US Secret Service), 네덜란드 경찰, 네덜란드 재정정보조사서비스(FIOD)","미국, 네덜란드","미국과 네덜란드 법집행기관이 공동으로 러시아 암호화폐 거래소(PM2BTC, Cryptex, UAPS 등)와 관련 인물(Sergey Sergeevich Ivanov 등)을 제재하고 인프라를 차단함으로써, 해킹·랜섬웨어 등 사이버범죄 자금 세탁 및 불법 금융거래 네트워크에 중대한 타격을 입혔다.",https://therecord.media/cryptocurrency-exchanges-seizures-ivanov-sanctions-us-netherlands
324,2024,(가칭)Operation Rydox,"신분도용, 불법 금융거래, 자금세탁, 불법 소프트웨어 및 데이터 유통, 불법 접근장치 판매, 해킹 도구 판매","미국 연방수사국(FBI) 피츠버그 사무소, 알바니아 특별반부패기구(SPAK), 알바니아 국가수사국(BKH), 코소보 특별검찰청, 코소보 경찰, 말레이시아 왕립경찰","미국, 알바니아, 코소보, 말레이시아","미국, 알바니아, 코소보, 말레이시아 법집행기관이 공동으로 불법 신원정보 및 해킹 도구를 거래하는 Rydox 사이버범죄 마켓플레이스를 해체하고, 주요 관리자 3명을 체포하며, 7,600건 이상의 불법 거래와 32만 건 이상의 범죄 도구 유통에 중대한 타격을 입혔다.",https://cyberscoop.com/rydox-cybercriminal-marketplace-seized-doj-albania-kosovo/
