연번,연도,작전명,횟수,죄명(한글),"참여기관(기본 한글, 저명한 기관만 영문)",참여국가(한글),내용,출처,,,,,
46,2015,(가칭)Operation Russian Ransom,1,"랜섬웨어, 컴퓨터사기, 자금세탁","Flashpoint(사이버 위협 인텔리전스 분석), FBI(피해 통계 및 대응)","러시아, 미국","러시아를 기반으로 한 랜섬웨어 범죄 네트워크가 조직적으로 운영되어 월 최대 7,500달러를 벌어들이고 있으며, 피해자들은 데이터 복구를 위해 몸값을 지불하지만 항상 복구가 보장되는 것은 아니다",https://www.businessinsider.com/flashpoint-report-ransomware-2016-6,,,,,
42,2016,DDoS-for-hire,1,DDoS공격,"Europol, Europol 유럽사이버범죄센터(EC3), FBI, International Cyber Crime Coordination Cell(IC4), 각국 법집행기관(영국, 프랑스, 벨기에, 헝가리, 리투아니아, 네덜란드, 노르웨이, 포르투갈, 루마니아, 스페인, 스웨덴, 오스트레일리아 등)","미국, 영국, 프랑스, 벨기에, 헝가리, 리투아니아, 네덜란드, 노르웨이, 포르투갈, 루마니아, 스페인, 스웨덴, 오스트레일리아","2016년 12월 5일부터 9일까지 Europol, FBI 등 13개국 법집행기관이 공조하여 DDoS-for-hire 서비스 이용자를 중심으로 101명을 조사하고 34명을 체포하며, 대부분이 20세 미만 청소년임을 확인하고, 글로벌 DDoS 공격 네트워크에 큰 타격을 입혔다",https://www.fbi.gov/news/stories/international-cyber-sweep-nets-ddos-attackers,,,,,
49,2016,Global Airport Action Day,1,"항공권사기, 불법이민, 인신매매, 마약밀매, 사이버조직범죄","INTERPOL, Europol, Ameripol, Frontex, Canadian 및 US law enforcement agencies, IATA, Perseuss, 항공사, 온라인 여행사, 결제카드 발급사","43개국, 국명은 기사에 명시되어 있지 않으나 주요 참여국으로는 미국, 캐나다, 유럽연합 회원국, 라틴아메리카, 아시아, 중동 국가 등이 포함","Global Airport Action Day는 43개국 189개 공항에서 도난 또는 해킹된 결제카드 정보로 구매한 항공권을 소지한 193명을 검거하고, 불법 이민, 인신매매, 마약 밀매, 사이버 범죄, 테러 등과 연계된 항공권 사기 범죄 네트워크를 무력화한 국제 공조 작전이다",https://www.interpol.int/News-and-Events/News/2016/Global-Airport-Action-Day-targets-airline-ticket-fraudsters,,,,,
43,2016,Operation Avalanche,1,"스팸, 피싱, 악성코드유포, 랜섬웨어, 자금세탁, 금융기관해킹","Europol, 미국 법무부(DOJ), 독일 법집행기관, 각국 경찰 및 수사기관, 보안기업(시만텍, 노턴 등), 학계","독일, 미국, 영국, 프랑스, 네덜란드, 이탈리아, 스페인, 폴란드, 오스트리아, 벨기에, 루마니아, 스위스, 일본 등 약 40개국(피해자 180개국 이상)","2016년 11월 30일 Europol, 미국 법무부, 독일 등 약 40개국 수사기관과 민간 보안기업이 공조해 Operation Avalanche를 통해 세계 최대 규모의 스팸·피싱·악성코드 유포 네트워크를 무력화하고, 800,000개 이상 도메인과 221개 서버를 차단하며, 5명을 체포해 글로벌 사이버 범죄에 큰 타격을 입혔다.",https://www.ibtimes.co.uk/cybercrime-network-avalanche-brought-down-by-global-operation-1594519,,,,,
48,2016,Operation Ciconia Alba,1,"인신매매, 노동착취, 마약밀매, 사이버조직범죄","Europol, INTERPOL, Frontex, EU 회원국 경찰 및 관련 기관","유럽연합(EU) 회원국 및 파트너 국가(미국, 캐나다 등)","Operation Ciconia Alba는 공항, 국경 등 주요 범죄 핫스팟을 중심으로 인신매매, 노동 착취, 마약 밀매, 사이버 범죄, 테러 등 다양한 조직범죄를 근절하기 위한 국제 공조 작전이다",https://www.europol.europa.eu/media-press/newsroom/news/international-operation-ciconia-alba-kicks-to-crack-down-organised-crime,,,,2018.01.01.,2018.12.31.
47,2016,Operation Hyperion,1,"다크웹불법물품거래, 자금세탁, 마약유통","FBI, Five Eyes Law Enforcement Group (FELEG) 소속 기관(미국, 캐나다, 영국, 오스트레일리아, 뉴질랜드 경찰), 네덜란드 경찰, 스웨덴 경찰","미국, 캐나다, 영국, 오스트레일리아, 뉴질랜드, 네덜란드, 스웨덴","Operation Hyperion은 전 세계 다크웹 시장 사용자 수천 명을 식별하고, 미국·뉴질랜드·스웨덴 등에서 다크웹을 통한 불법 물품 거래 및 자금 세탁 혐의로 수사 및 체포가 이루어진 국제 공조 작전이다.",https://cyberscoop.com/dark-web-fbi-sting-zcash-operation-hyperion/,,,,,
61,2016,(가칭)Operation Mike,1,"이메일계정해킹, 컴퓨터사기, 자금세탁, 비즈니스이메일사기(BEC), CEO사기","INTERPOL, Nigerian Economic and Financial Crime Commission (EFCC)","나이지리아, 말레이시아, 남아프리카공화국, 미국, 중국, 유럽(자금 세탁 관련)","INTERPOL과 나이지리아 EFCC가 전 세계 중소기업 이메일 계정을 해킹해 6,000만 달러 이상을 탈취한 나이지리아인 마이크를 중심으로 한 국제 범죄 네트워크를 국제 공조 수사로 체포했다.",https://news.sophos.com/en-us/2016/08/02/nigerian-scammer-arrested-for-60-million-email-fraud/,,,,,
99,2017,Andromeda Botnet Dismantling,1,"악성코드유포, 봇넷운영, 범죄적인프라활용","FBI, 뤼네부르크 중앙형사수사국(독일), 유로폴 유럽사이버범죄센터(EC3), Joint Cybercrime Action Task Force(J-CAT), 유로저스트(Eurojust), 마이크로소프트 등 민간기업","미국, 독일, 오스트리아, 벨기에, 핀란드, 프랑스, 이탈리아, 네덜란드, 폴란드, 스페인, 영국, 호주, 벨라루스, 캐나다, 몬테네그로, 싱가포르, 대만","국제 공조 작전을 통해 Andromeda 봇넷의 인프라를 무력화하고, 악성코드 유포 및 봇넷 운영에 사용된 서버와 도메인을 차단하며, 벨라루스에서 용의자 1명을 체포하였다.",https://www.europol.europa.eu/media-press/newsroom/news/andromeda-botnet-dismantled-in-international-cyber-operation,,,,,
103,2017,Bakovia,1,"해킹, 컴퓨터시스템방해, 사이버협박","루마니아 경찰(서비스 포 컴뱃팅 사이버크라임), 네덜란드 하이테크 범죄 수사대(HTCC), 영국 국가범죄청(NCA), 미국 연방수사국(FBI), 미국 비밀경호국(US Secret Service), 유로폴(EC3, J-CAT), 맥아피(McAfee)","루마니아, 네덜란드, 영국, 미국","CTB-Locker와 Cerber 랜섬웨어를 유포한 범죄조직을 다국적 합동 수사로 적발하여 5명의 용의자를 체포하고, 수많은 하드웨어와 증거를 압수하였다.",https://cyberscoop.com/ctb-locker-cerber-ransomware-arrests-europol-mcafee/,,,,,
35,2017,Joint Investigation Team operation,1,"악성코드유포, 금융기관해킹, 자금세탁, 범죄수익은닉","Europol, Eurojust, 오스트리아 법집행기관, 벨기에 법집행기관, 우크라이나 법집행기관","오스트리아, 벨기에, 우크라이나, 유럽연합","2015년 6월 Europol과 Eurojust가 주도하고 오스트리아, 벨기에, 우크라이나 등 6개국 수사기관이 협력한 합동수사팀이 Zeus와 SpyEye 등 악성코드를 이용해 유럽 전역의 온라인 뱅킹 시스템을 해킹하고 자금세탁에 가담한 대형 사이버 범죄 조직을 적발, 5명을 체포하고 컴퓨터 장비를 압수했다.",https://www.europol.europa.eu/media-press/newsroom/news/major-cybercrime-ring-dismantled-joint-investigation-team,,,,,
85,2017,Operation Bayonet,1,"마약거래, 다크웹불법물품거래, 악성코드유포, 해킹도구판매, 불법데이터유출","미국 연방수사국(FBI), 미국 마약단속국(DEA), 네덜란드 경찰, Europol, 독일 경찰, 리투아니아 경찰, 캐나다 경찰, 태국 경찰, 영국 경찰, 프랑스 경찰","미국, 네덜란드, 독일, 리투아니아, 캐나다, 태국, 영국, 프랑스","국제 공조로 AlphaBay와 Hansa Market이라는 세계 최대 다크웹 마켓플레이스를 폐쇄하고, 불법 마약·무기·악성코드 등 거래자 정보를 수집하며, 사이버범죄 네트워크에 큰 타격을 입혔다.",https://www.theguardian.com/technology/2017/jul/20/dark-web-marketplaces-alphabay-hansa-shut-down,,,,,
73,2017,(가칭)Operation Teenage Breach,1,"컴퓨터오용, 해킹, 불법컴퓨터접근, 불법데이터유출","웨일스 경찰, 국제 사이버범죄수사기관, National Crime Agency, Europol(기사 내 구체적 명시는 없으나, 국제 공조 언급)","영국(웨일스), 국제(미국 등 기타 국가 언급, 구체적 명시 없음)","웨일스의 10대가 국제 사이버범죄 네트워크와 연관되어 해킹 및 불법 컴퓨터 접근 혐의로 체포되어 기소되었으며, 이는 국제 공조 조사의 일부로 이루어졌다.",https://www.walesonline.co.uk/news/wales-news/teenager-wales-charged-international-computer-11737455,,,,,
87,2017,(가칭)Operation CardHack London,1,"해킹, 불법데이터유출, 신용카드사기, 불법금융정보거래","런던 경찰, 영국 국립범죄청(NCA), 국제 법집행기관","영국(런던), 국제(피해자 다수, 구체적 국가 명시 없음)","런던 경찰이 국제 공조로 불법 신용카드 및 금융정보를 해킹해 유출·판매한 용의자 10명을 체포하고, 사이버범죄 네트워크에 타격을 입혔다.",https://www.bbc.com/news/uk-41240643,,,,,
88,2017,(가칭)Operation ASEAN Sweep,1,"해킹, 악성코드유포, 랜섬웨어, DDoS공격, 스팸유포, 불법데이터유출, 컴퓨터사기, 피싱","Interpol, Trend Micro, Kaspersky Lab, Cyber Defense Institute, Booz Allen Hamilton, British Telecom, Fortinet, Palo Alto Networks, 인도네시아, 말레이시아, 미얀마, 필리핀, 싱가포르, 태국, 베트남 등 각국 경찰 및 사이버수사기관, 중국(정보 제공)","인도네시아, 말레이시아, 미얀마, 필리핀, 싱가포르, 태국, 베트남, 중국(정보 제공)"," Interpol이 동남아시아 7개국(및 중국 정보 제공)의 경찰 및 민간 보안기업과 협력해, 9,000개 이상의 침해 서버와 수백 개의 웹사이트(정부포털 포함)에서 해킹, 악성코드, 랜섬웨어, DDoS, 스팸, 불법 데이터 유출 등 다양한 사이버범죄를 적발하고, 단속 결과를 발표했다.",https://www.freemalaysiatoday.com/category/nation/2017/04/24/interpol-finds-9000-compromised-websites,,,,,
89,2017,(가칭)Operation WannaCry,1,랜섬웨어,"주요 보안기업(하우리랩스, 시만텍 등), FBI, 미국 정부, 기타 국제 보안기관","미국, 영국, 중국, 러시아, 이스라엘, 남한 등(전 세계적 피해 및 조사)","북한이 배후로 추정되는 WannaCry 랜섬웨어 공격이 전 세계 300,000대 이상의 컴퓨터를 감염시켰으며, 주요 보안기업과 국제기관이 이 공격의 배후와 경로를 조사하고 있다.",https://time.com/4781809/ransomware-attack-north-korea-wannacry/,,,,,
94,2017,(가칭)Operation Fiji Fraud,1,"컴퓨터사기, 불법온라인도박","피지 경찰, 중국 경찰, 중국 대사관(수바)","피지, 중국","피지와 중국 당국이 공동으로 전화 및 온라인 사기 조직을 적발하여 77명의 중국 국적 용의자를 체포 및 송환하고, 사기와 관련된 장비를 압수하였다.",https://www.arabnews.com/node/1141451/world,,,,,
100,2017,(가칭)Operation QatarLeak,1,"사이버침입, 허위정보유포, 국가이미지훼손","카타르 내무부, 정부통신청(GCO), 미국 연방수사국(FBI), 영국 국가범죄수사위원회(National Commission for Combating Crime)","카타르, 미국, 영국","카타르 뉴스통신사(QNA)가 해킹을 당해 허위 뉴스가 유포되었으며, 카타르 내무부와 미국 FBI 등이 합동으로 조사하여 사이버침입 경로와 방법을 밝혀냈다.",https://www.aljazeera.com/news/2017/6/7/qatar-reveals-preliminary-results-of-qna-hacking-probe,,,,,
216,2018,"Methbot, 3ve",1,"디지털광고사기, 전자기록위변조, 자금세탁, 봇넷운영","미국 연방수사국(FBI), 미국 법무부, 불가리아 경찰, White Ops(미국 사이버보안 기업), XBT/Webzilla(웹호스팅 기업), Google(기술 분석)","미국, 러시아, 불가리아, 카자흐스탄, 네덜란드, 에스토니아, 말레이시아(주요 용의자 체포 및 피해 발생 국가)","러시아 및 카자흐스탄 출신 범죄자들이 미국과 유럽 등지의 서버를 활용해 ‘Methbot’와 ‘3ve’ 봇넷을 통해 디지털 광고 사기를 조직적으로 저지른 사실이 드러나, 미국 법무부와 FBI, 국제 수사기관이 2018년 주요 용의자들을 체포하고 수억 달러 규모의 피해를 확인했다.",https://www.rferl.org/a/methbot-russia-internet-fraud-state-sponsored-hacking-zhukov/31241417.html,,,,,
124,2018,Operation Power Off,1,DDoS공격,"영국 국가범죄수사국(National Crime Agency), 네덜란드 경찰, Europol, FBI, Police Scotland, 미국 법무부, 독일 경찰 등","영국, 네덜란드, 미국, 독일, 크로아티아, 세르비아, 캐나다, 이탈리아, 스페인, 호주, 홍콩","국제 법집행기관이 Operation Power Off 작전을 통해 세계 최대 DDoS-for-hire 서비스 Webstresser.org를 차단하고, 6명의 관리자를 체포하며, 136,000명 이상의 등록 사용자가 400만 건 이상의 사이버공격을 수행한 불법 인프라를 무력화하였다.",https://www.welivesecurity.com/2018/04/27/worlds-biggest-ddos-marketplace/,,,,2019.01.01.,2019.12.31.
127,2018,Operation WireWire,1,"비즈니스이메일사기(BEC), 이메일계정침해, 컴퓨터사기, 금융사기, 자금세탁","미국 법무부, FBI, 미국 국토안보부, 미국 재무부, 미국 우편검찰청, 각국 법집행기관","미국, 나이지리아, 캐나다, 모리셔스, 폴란드","미국 법무부와 FBI 등 국제 법집행기관이 Operation WireWire 작전을 통해 비즈니스 이메일 사기(BEC) 조직을 해체하고, 74명을 체포하며 약 240만 달러를 압수하고 1,400만 달러 상당의 불법 송금을 차단 및 회수하였다.",https://www.fbi.gov/news/stories/international-bec-takedown-061118,,,,,
97,2018,(가칭)Operation MoneyTaker,1,"금융기관해킹, 은행사기, 정보유출, 자금탈취","Group-IB(사이버보안기업), 피해 금융기관, 국제 로펌, 금융 소프트웨어 공급업체","미국, 영국, 러시아","러시아 기반의 Money Taker 해킹 조직이 미국, 영국, 러시아의 금융기관과 국제 로펌, 금융 소프트웨어 공급업체를 표적으로 맞춤형 악성코드와 다양한 침투 도구를 사용해 은행 시스템을 해킹하고 자금을 탈취하였다.",https://cyberscoop.com/money-taker-group-ib-banking-hack-russia/,,,,,
111,2018,(가칭)Operation Manila Gamble,1,사이버도박,"필리핀 국가수사국(NBI), 사이버범죄과, 디지털포렌식팀","필리핀, 중국","필리핀 국가수사국이 마닐라와 앵글스 시티에서 관광 비자로 입국한 중국인 15명을 불법 온라인 도박 운영 혐의로 체포하고, 도박 웹사이트 및 장비, 불법 접근장치 다수를 압수하였다.",https://www.gmanetwork.com/news/topstories/metro/676254/15-chinese-nationals-arrested-for-illegal-online-gambling/story/,,,,,
112,2018,(가칭)Operation EagleNet,1,"금융사기, 부패","EFCC(나이지리아 경제·금융범죄위원회), FBI(미국 연방수사국), EFCC 사이버범죄과","나이지리아, 미국","나이지리아 EFCC와 미국 FBI가 사이버범죄와 금융사기, 부패 등 국경 없는 범죄에 공동 대응하기 위해 공식적으로 협력 관계를 강화하고, 첨단 범죄 단속과 피해자 보호를 위해 정보 공유 및 조사 역량을 확대하였다.",https://www.vanguardngr.com/2018/06/efcc-fbi-partner-fight-cybercrime/,,,,,
121,2018,(가칭)Operation CardStorm,1,"신용카드정보도난및유통, 자금세탁, 컴퓨터사기, 범죄조직운영","영국 국가범죄수사국(National Crime Agency), FBI, 유럽 법집행기관","영국, 미국, 유럽(독일, 프랑스 등)","영국 국가범죄수사국과 FBI 등 국제 법집행기관이 협력하여 불법 신용카드 정보 도난 및 유통, 돈세탁, 사이버사기 등으로 수백만 달러의 피해를 발생시킨 범죄조직을 해체하고, 주요 인물 6명을 체포하였다.",https://www.bbc.com/news/uk-43893420,,,,,
122,2018,(가칭)Operation Carbanak,1,"금융기관해킹, 악성코드유포, 신용카드및은행계좌정보도난, 사기, 자금세탁, 범죄조직운영","스페인 국가경찰(Spanish National Police), Europol, FBI, 루마니아 경찰, 벨라루스 경찰, 대만(중화민국) 관련 기관, 민간 사이버보안 기업(카스퍼스키 등)","스페인, 미국, 루마니아, 벨라루스, 대만(중화민국)","스페인 국가경찰과 Europol 등 국제 법집행기관이 협력하여 Carbanak과 Cobalt 악성코드를 이용해 40여 개국 100개 이상의 금융기관에서 10억 유로 이상을 훔친 범죄조직의 핵심 인물을 체포하고, 해당 사이버범죄 네트워크를 무력화하였다.",https://www.europol.europa.eu/media-press/newsroom/news/mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain,,,,,
134,2018,(가칭)Operation Infraud,1,"신용카드·데빗카드·은행계좌 정보 도난 및 유통, 불법 하드웨어 유통, 악성코드유포, 컴퓨터사기, 범죄조직운영","미국 법무부, 미국 국토안보부, 태국 경찰, 프랑스 법집행기관, 영국 법집행기관, 이탈리아 법집행기관, 호주 법집행기관, 코소보 법집행기관, 세르비아 법집행기관","미국, 태국, 프랑스, 영국, 이탈리아, 호주, 코소보, 세르비아","미국 법무부와 국제 법집행기관이 협력하여 Infraud Organization의 주요 인물을 태국 등 여러 국가에서 체포하고, 신용카드·데빗카드·은행계좌 정보 도난 및 유통 등으로 5억 3천만 달러 이상의 피해를 유발한 글로벌 사이버범죄 조직을 무력화하였다.",https://www.voanews.com/a/thais-arrest-alleged-russian-cybercrime-market-operator/4246130.html,,,,,
135,2018,(가칭)Operation RexMundi,1,"사이버협박, 데이터유출, 불법침입, 신용카드정보도난, 범죄조직운영","영국 런던 경찰(Metropolitan Police), 프랑스 국가경찰(High Tech Crime Unit), 태국 왕립경찰, Europol, J-CAT(유럽합동사이버범죄특별팀)","영국, 프랑스, 태국","영국, 프랑스, 태국 법집행기관과 Europol이 협력하여 영국 기업을 대상으로 대규모 고객 데이터 유출 및 사이버 협박을 시도한 해킹조직 Rex Mundi의 주요 인물을 체포하고, 8명의 용의자를 모두 검거하며 해당 범죄조직을 해체하였다.",https://www.europol.europa.eu/media-press/newsroom/news/french-coder-who-helped-extort-british-company-arrested-in-thailand,,,,,
147,2018,(가칭)Operation ATM Havoc,1,"악성코드유포, 금융기관해킹, ATM네트워크공격, 신용카드정보도난, 금융사기, 자금세탁","Europol, Europol Cybercrime Centre(EC3), Europol Joint Cybercrime Action Taskforce(J-CAT), 스페인 국립경찰, 미국 FBI, 루마니아 법집행기관, 몰도바 법집행기관, 벨라루스 법집행기관, 대만 법집행기관, 민간 사이버보안 기업","스페인, 미국, 루마니아, 몰도바, 벨라루스, 대만, 40개국 이상(피해 국가)","Europol과 J-CAT, 스페인 국립경찰 등 국제 법집행기관이 협력하여 40개국 이상의 금융기관을 대상으로 악성코드와 ATM 네트워크 공격을 감행한 국제 사이버범죄 조직을 단속하고, 주요 용의자를 체포하며 10억 유로 이상의 피해를 유발한 범죄 네트워크를 해체하였다.",https://www.thirdway.org/report/countering-the-cyber-enforcement-gap-strengthening-global-capacity-on-cybercrime,,,,,
139,2019,Charlie Foxter,1,"사이버범죄, 금융사기, 온라인도박, 비자규정위반","네팔 중앙수사국, 네팔 경찰, 중국 국가중앙국(Interpol 연계), Interpol","네팔, 중국","네팔 경찰이 중국 국가중앙국과 협력하여 122명의 중국인을 체포하였으며, 이들은 네팔 내에서 사이버범죄, 금융사기, 온라인 도박 등 불법 활동을 벌인 혐의로 조사 중이다.",https://www.aljazeera.com/news/2019/12/24/nepal-detains-122-chinese-for-suspected-cybercrime-bank-fraud,,,,,
